[t=00.23s] [Telemetry] Touch Raw: 10697 | Baseline: 10404 | Delta: 293 (Threshold: 1100)
[t=00.28s] [Wheel] dx: 1 | Accumulator: -6
[t=00.29s] [Wheel] dx: -1 | Accumulator: -7
[t=00.29s] [Wheel] dx: -3 | Accumulator: -10
[t=00.31s] [Wheel] dx: 2 | Accumulator: -8
[t=00.31s] [Wheel] dx: 1 | Accumulator: -7
[t=00.32s] [Wheel] dx: 1 | Accumulator: -6
[t=00.32s] [Wheel] dx: 1 | Accumulator: -5
[t=00.33s] [Wheel] dx: 2 | Accumulator: -3
[t=00.33s] [Wheel] dx: 3 | Accumulator: 0
[t=00.33s] [Wheel] dx: 1 | Accumulator: 1
[t=00.34s] [Wheel] dx: 1 | Accumulator: 2
[t=00.34s] [Wheel] dx: 4 | Accumulator: 6
[t=00.36s] [Wheel] dx: 3 | Accumulator: 9
[t=00.36s] [Wheel] dx: 4 | Accumulator: 13
[t=00.36s] [Wheel] dx: 1 | Accumulator: 14
[t=00.37s] [Wheel] dx: 1 | Accumulator: 15
[t=00.37s] [Wheel] dx: 2 | Accumulator: 17
[t=00.38s] [Wheel] dx: 3 | Accumulator: 20
[t=00.38s] [Wheel] dx: 5 | Accumulator: 25
[t=00.39s] [Wheel] dx: 5 | Accumulator: 5
[t=00.39s] [Wheel] dx: 1 | Accumulator: 6
[t=00.40s] [Wheel] dx: 4 | Accumulator: 10
[t=00.41s] [Wheel] dx: 2 | Accumulator: 12
[t=00.41s] [Wheel] dx: 4 | Accumulator: 16
[t=00.41s] [Wheel] dx: 2 | Accumulator: 18
[t=00.42s] [Wheel] dx: 4 | Accumulator: 22
[t=00.42s] [Wheel] dx: 3 | Accumulator: 25
[t=00.43s] [Wheel] dx: 5 | Accumulator: 5
[t=00.43s] [Wheel] dx: 3 | Accumulator: 8
[t=00.44s] [Wheel] dx: 4 | Accumulator: 12
[t=00.45s] [Wheel] dx: 1 | Accumulator: 13
[t=00.46s] [Wheel] dx: 4 | Accumulator: 17
[t=00.46s] [Wheel] dx: 3 | Accumulator: 20
[t=00.47s] [Wheel] dx: 2 | Accumulator: 22
[t=00.47s] [Wheel] dx: 2 | Accumulator: 24
[t=00.48s] [Wheel] dx: 2 | Accumulator: 26
[t=00.48s] [Wheel] dx: 3 | Accumulator: 4
[t=00.49s] [Wheel] dx: 2 | Accumulator: 6
[t=00.50s] [Wheel] dx: 3 | Accumulator: 9
[t=00.51s] [Wheel] dx: 1 | Accumulator: 10
[t=00.52s] [Wheel] dx: 2 | Accumulator: 12
[t=00.52s] [Wheel] dx: 1 | Accumulator: 13
[t=00.52s] [Wheel] dx: 1 | Accumulator: 14
[t=00.53s] [Wheel] dx: 1 | Accumulator: 15
[t=00.53s] [Wheel] dx: -1 | Accumulator: 14
[t=00.54s] [Wheel] dx: 1 | Accumulator: 15
[t=00.55s] [Wheel] dx: 1 | Accumulator: 16
[t=00.57s] [Wheel] dx: 1 | Accumulator: 17
[t=00.79s] [Wheel] dx: -1 | Accumulator: 16
[t=00.81s] [Wheel] dx: -1 | Accumulator: 15
[t=00.85s] [Wheel] dx: 1 | Accumulator: 16
[t=00.85s] [Wheel] dx: 1 | Accumulator: 17
[t=00.86s] [Wheel] dx: 2 | Accumulator: 19
[t=00.86s] [Wheel] dx: 3 | Accumulator: 22
[t=00.87s] [Wheel] dx: 1 | Accumulator: 23
[t=00.88s] [Wheel] dx: 5 | Accumulator: 28
[t=00.89s] [Wheel] dx: 4 | Accumulator: 7
[t=00.89s] [Wheel] dx: 4 | Accumulator: 11
[t=00.90s] [Wheel] dx: 1 | Accumulator: 12
[t=00.91s] [Wheel] dx: 1 | Accumulator: 13
[t=00.91s] [Wheel] dx: 1 | Accumulator: 14
[t=00.92s] [Wheel] dx: 3 | Accumulator: 17
[t=00.92s] [Wheel] dx: 2 | Accumulator: 19
[t=00.92s] [Wheel] dx: 3 | Accumulator: 22
[t=00.93s] [Wheel] dx: 3 | Accumulator: 25
[t=00.93s] [Wheel] dx: 5 | Accumulator: 5
[t=00.94s] [Wheel] dx: 3 | Accumulator: 8
[t=00.95s] [Wheel] dx: 3 | Accumulator: 11
[t=00.96s] [Wheel] dx: 3 | Accumulator: 14
[t=00.96s] [Wheel] dx: 1 | Accumulator: 15
[t=00.96s] [Wheel] dx: 2 | Accumulator: 17
[t=00.97s] [Wheel] dx: 3 | Accumulator: 20
[t=00.97s] [Wheel] dx: 2 | Accumulator: 22
[t=00.98s] [Wheel] dx: 5 | Accumulator: 27
[t=00.98s] [Wheel] dx: 7 | Accumulator: 9
[t=00.99s] [Wheel] dx: 1 | Accumulator: 10
