[t=00.01s] [Wheel] dx: -3 | Accumulator: -7
[t=00.01s] [Wheel] dx: -3 | Accumulator: -10
[t=00.01s] [Wheel] dx: -3 | Accumulator: -13
[t=00.03s] [Wheel] dx: -1 | Accumulator: -14
[t=00.03s] [Wheel] dx: -4 | Accumulator: -18
[t=00.04s] [Wheel] dx: -1 | Accumulator: -19
[t=00.05s] [Wheel] dx: -1 | Accumulator: -20
[t=00.06s] [Wheel] dx: -1 | Accumulator: -21
[t=00.07s] [Wheel] dx: -3 | Accumulator: -24
[t=00.08s] [Wheel] dx: -1 | Accumulator: -25
[t=00.67s] [Wheel] dx: -1 | Accumulator: -1
[t=00.79s] [Telemetry] Touch Raw: 10543 | Baseline: 10611 | Delta: 68 (Threshold: 700)
[t=00.93s] [Wheel] dx: 1 | Accumulator: 0
[t=00.94s] [Wheel] dx: 1 | Accumulator: 1
[t=00.94s] [Wheel] dx: 1 | Accumulator: 2
[t=00.95s] [Wheel] dx: 1 | Accumulator: 3
[t=00.96s] [Wheel] dx: 1 | Accumulator: 4
[t=00.96s] [Wheel] dx: 1 | Accumulator: 5
[t=00.97s] [Wheel] dx: 1 | Accumulator: 6
[t=00.97s] [Wheel] dx: 3 | Accumulator: 9
[t=00.98s] [Wheel] dx: 2 | Accumulator: 11
[t=00.99s] [Wheel] dx: 2 | Accumulator: 13
[t=00.99s] [Wheel] dx: 3 | Accumulator: 16
[t=01.00s] [Wheel] dx: 1 | Accumulator: 17
[t=01.00s] [Wheel] dx: 2 | Accumulator: 19
[t=01.00s] [Wheel] dx: 3 | Accumulator: 22
[t=01.01s] [Wheel] dx: 2 | Accumulator: 24
[t=01.01s] [Wheel] dx: 3 | Accumulator: 27
[t=01.02s] [Wheel] dx: 4 | Accumulator: 6
[t=01.03s] [Wheel] dx: 4 | Accumulator: 10
[t=01.04s] [Wheel] dx: 2 | Accumulator: 12
[t=01.05s] [Wheel] dx: 3 | Accumulator: 15
[t=01.05s] [Wheel] dx: 2 | Accumulator: 17
[t=01.05s] [Wheel] dx: 1 | Accumulator: 18
[t=01.06s] [Wheel] dx: 1 | Accumulator: 19
[t=01.06s] [Wheel] dx: 4 | Accumulator: 23
[t=01.06s] [Wheel] dx: 2 | Accumulator: 25
[t=01.08s] [Wheel] dx: 5 | Accumulator: 5
[t=01.08s] [Wheel] dx: 1 | Accumulator: 6
[t=01.09s] [Wheel] dx: 1 | Accumulator: 7
[t=01.09s] [Wheel] dx: 3 | Accumulator: 10
[t=01.09s] [Wheel] dx: 2 | Accumulator: 12
[t=01.11s] [Wheel] dx: 4 | Accumulator: 16
