[t=00.71s] [Telemetry] Touch Raw: 10631 | Baseline: 10621 | Delta: 10 (Threshold: 700)
[t=01.71s] [Telemetry] Touch Raw: 10636 | Baseline: 10650 | Delta: 14 (Threshold: 700)
[t=02.15s] [Wheel] dx: -1 | Accumulator: -2
[t=02.18s] [Wheel] dx: -2 | Accumulator: -4
[t=02.19s] [Wheel] dx: -2 | Accumulator: -6
[t=02.21s] [Wheel] dx: -1 | Accumulator: -7
[t=02.21s] [Wheel] dx: -2 | Accumulator: -9
[t=02.22s] [Wheel] dx: -2 | Accumulator: -11
[t=02.23s] [Wheel] dx: -2 | Accumulator: -13
[t=02.23s] [Wheel] dx: -2 | Accumulator: -15
[t=02.23s] [Wheel] dx: -2 | Accumulator: -17
[t=02.25s] [Wheel] dx: -3 | Accumulator: -20
[t=02.26s] [Wheel] dx: -2 | Accumulator: -22
[t=02.27s] [Wheel] dx: -1 | Accumulator: -23
[t=02.27s] [Wheel] dx: -1 | Accumulator: -24
[t=02.27s] [Wheel] dx: -2 | Accumulator: -26
[t=02.28s] [Wheel] dx: -7 | Accumulator: -8
[t=02.28s] [Wheel] dx: -3 | Accumulator: -11
[t=02.29s] [Wheel] dx: -1 | Accumulator: -12
[t=02.30s] [Wheel] dx: -3 | Accumulator: -15
[t=02.31s] [Wheel] dx: -3 | Accumulator: -18
[t=02.31s] [Wheel] dx: -4 | Accumulator: -22
[t=02.31s] [Wheel] dx: -3 | Accumulator: -25
[t=02.32s] [Wheel] dx: -5 | Accumulator: -5
[t=02.32s] [Wheel] dx: -4 | Accumulator: -9
[t=02.33s] [Wheel] dx: -4 | Accumulator: -13
[t=02.33s] [Wheel] dx: -2 | Accumulator: -15
[t=02.35s] [Wheel] dx: -4 | Accumulator: -19
[t=02.35s] [Wheel] dx: -2 | Accumulator: -21
[t=02.35s] [Wheel] dx: -3 | Accumulator: -24
[t=02.36s] [Wheel] dx: -5 | Accumulator: -29
[t=02.36s] [Wheel] dx: -7 | Accumulator: -11
[t=02.37s] [Wheel] dx: -3 | Accumulator: -14
[t=02.37s] [Wheel] dx: -3 | Accumulator: -17
[t=02.38s] [Wheel] dx: -1 | Accumulator: -18
[t=02.38s] [Wheel] dx: -4 | Accumulator: -22
[t=02.39s] [Wheel] dx: -4 | Accumulator: -26
[t=02.40s] [Wheel] dx: -5 | Accumulator: -6
[t=02.40s] [Wheel] dx: -3 | Accumulator: -9
[t=02.40s] [Wheel] dx: -3 | Accumulator: -12
[t=02.41s] [Wheel] dx: -3 | Accumulator: -15
[t=02.42s] [Wheel] dx: -1 | Accumulator: -16
[t=02.42s] [Wheel] dx: -1 | Accumulator: -17
[t=02.43s] [Wheel] dx: -2 | Accumulator: -19
[t=02.43s] [Wheel] dx: -1 | Accumulator: -20
[t=02.44s] [Wheel] dx: -1 | Accumulator: -21
[t=02.45s] [Wheel] dx: -1 | Accumulator: -22
[t=02.45s] [Wheel] dx: -1 | Accumulator: -23
[t=02.46s] [Wheel] dx: -1 | Accumulator: -24
[t=02.71s] [Telemetry] Touch Raw: 10682 | Baseline: 10553 | Delta: 129 (Threshold: 700)
[t=02.78s] [Wheel] dx: -1 | Accumulator: -25
[t=02.80s] [Wheel] dx: -1 | Accumulator: -1
[t=02.80s] [Wheel] dx: -2 | Accumulator: -3
[t=02.81s] [Wheel] dx: -1 | Accumulator: -4
[t=02.82s] [Wheel] dx: 1 | Accumulator: -3
[t=02.82s] [Wheel] dx: -1 | Accumulator: -4
[t=02.83s] [Wheel] dx: -1 | Accumulator: -5
[t=02.83s] [Wheel] dx: -1 | Accumulator: -6
[t=02.84s] [Wheel] dx: -1 | Accumulator: -7
[t=02.84s] [Wheel] dx: -1 | Accumulator: -8
[t=02.86s] [Wheel] dx: -2 | Accumulator: -10
[t=02.86s] [Wheel] dx: -2 | Accumulator: -12
[t=02.87s] [Wheel] dx: -2 | Accumulator: -14
[t=02.87s] [Wheel] dx: -2 | Accumulator: -16
[t=02.88s] [Wheel] dx: -1 | Accumulator: -17
[t=02.89s] [Wheel] dx: -1 | Accumulator: -18
[t=02.89s] [Wheel] dx: -1 | Accumulator: -19
[t=02.89s] [Wheel] dx: -1 | Accumulator: -20
[t=02.90s] [Wheel] dx: -2 | Accumulator: -22
[t=02.92s] [Wheel] dx: -1 | Accumulator: -23
[t=02.93s] [Wheel] dx: -1 | Accumulator: -24
[t=02.93s] [Wheel] dx: -1 | Accumulator: -25
[t=02.94s] [Wheel] dx: -1 | Accumulator: -1
[t=02.95s] [Wheel] dx: -1 | Accumulator: -2
[t=02.96s] [Wheel] dx: -2 | Accumulator: -4
[t=02.97s] [Wheel] dx: -1 | Accumulator: -5
[t=02.98s] [Wheel] dx: -1 | Accumulator: -6
[t=03.00s] [Wheel] dx: 1 | Accumulator: -5
[t=03.11s] [Wheel] dx: 3 | Accumulator: -2
[t=03.12s] [Wheel] dx: 4 | Accumulator: 2
[t=03.12s] [Wheel] dx: 1 | Accumulator: 3
[t=03.13s] [Wheel] dx: 2 | Accumulator: 5
[t=03.13s] [Wheel] dx: 1 | Accumulator: 6
[t=03.14s] [Wheel] dx: 1 | Accumulator: 7
[t=03.15s] [Wheel] dx: 4 | Accumulator: 11
[t=03.15s] [Wheel] dx: 2 | Accumulator: 13
[t=03.16s] [Wheel] dx: 2 | Accumulator: 15
[t=03.16s] [Wheel] dx: 3 | Accumulator: 18
[t=03.17s] [Wheel] dx: 3 | Accumulator: 21
[t=03.17s] [Wheel] dx: 2 | Accumulator: 23
[t=03.18s] [Wheel] dx: 2 | Accumulator: 25
[t=03.18s] [Wheel] dx: 4 | Accumulator: 4
[t=03.19s] [Wheel] dx: 2 | Accumulator: 6
[t=03.19s] [Wheel] dx: 2 | Accumulator: 8
[t=03.20s] [Wheel] dx: 5 | Accumulator: 13
[t=03.21s] [Wheel] dx: 2 | Accumulator: 15
[t=03.21s] [Wheel] dx: 4 | Accumulator: 19
[t=03.22s] [Wheel] dx: 7 | Accumulator: 26
[t=03.22s] [Wheel] dx: 8 | Accumulator: 9
[t=03.23s] [Wheel] dx: 5 | Accumulator: 14
[t=03.23s] [Wheel] dx: 2 | Accumulator: 16
[t=03.23s] [Wheel] dx: 4 | Accumulator: 20
[t=03.25s] [Wheel] dx: 3 | Accumulator: 23
[t=03.25s] [Wheel] dx: 4 | Accumulator: 27
[t=03.25s] [Wheel] dx: 5 | Accumulator: 7
[t=03.26s] [Wheel] dx: 3 | Accumulator: 10
[t=03.27s] [Wheel] dx: 4 | Accumulator: 14
[t=03.27s] [Wheel] dx: 2 | Accumulator: 16
[t=03.28s] [Wheel] dx: 1 | Accumulator: 17
[t=03.28s] [Wheel] dx: 1 | Accumulator: 18
[t=03.28s] [Wheel] dx: 2 | Accumulator: 20
[t=03.29s] [Wheel] dx: 1 | Accumulator: 21
[t=03.29s] [Wheel] dx: 2 | Accumulator: 23
[t=03.31s] [Wheel] dx: 1 | Accumulator: 24
[t=03.31s] [Wheel] dx: 1 | Accumulator: 25
[t=03.31s] [Wheel] dx: 2 | Accumulator: 2
[t=03.32s] [Wheel] dx: 2 | Accumulator: 4
[t=03.33s] [Wheel] dx: 1 | Accumulator: 5
[t=03.33s] [Wheel] dx: 1 | Accumulator: 6
[t=03.34s] [Wheel] dx: 2 | Accumulator: 8
[t=03.34s] [Wheel] dx: 1 | Accumulator: 9
[t=03.35s] [Wheel] dx: 1 | Accumulator: 10
[t=03.37s] [Wheel] dx: 1 | Accumulator: 11
[t=03.47s] [Wheel] dx: -1 | Accumulator: 10
[t=03.53s] [Wheel] dx: -1 | Accumulator: 9
[t=03.54s] [Wheel] dx: -1 | Accumulator: 8
[t=03.55s] [Wheel] dx: 1 | Accumulator: 9
[t=03.67s] [Wheel] dx: 2 | Accumulator: 11
[t=03.68s] [Wheel] dx: 1 | Accumulator: 12
[t=03.68s] [Wheel] dx: 1 | Accumulator: 13
[t=03.69s] [Wheel] dx: 1 | Accumulator: 14
[t=03.69s] [Wheel] dx: 2 | Accumulator: 16
[t=03.69s] [Wheel] dx: 2 | Accumulator: 18
[t=03.70s] [Wheel] dx: 3 | Accumulator: 21
[t=03.70s] [Wheel] dx: 2 | Accumulator: 23
[t=03.72s] [Wheel] dx: 4 | Accumulator: 27
[t=03.72s] [Telemetry] Touch Raw: 12157 | Baseline: 10625 | Delta: 1532 (Threshold: 700)
[t=03.72s] [Wheel] dx: 1 | Accumulator: 3
[t=03.72s] [Wheel] dx: 2 | Accumulator: 5
[t=03.73s] [Wheel] dx: 6 | Accumulator: 11
[t=03.73s] [Wheel] dx: 4 | Accumulator: 15
[t=03.74s] [Wheel] dx: 4 | Accumulator: 19
[t=03.74s] [Wheel] dx: 2 | Accumulator: 21
[t=03.74s] [Wheel] dx: 1 | Accumulator: 22
[t=03.76s] [Wheel] dx: 3 | Accumulator: 25
[t=03.76s] [Wheel] dx: 3 | Accumulator: 3
[t=03.77s] [Wheel] dx: 1 | Accumulator: 4
[t=03.77s] [Wheel] dx: 2 | Accumulator: 6
[t=03.78s] [Wheel] dx: -1 | Accumulator: 5
[t=03.78s] [Wheel] dx: 3 | Accumulator: 8
[t=03.78s] [Wheel] dx: 3 | Accumulator: 11
[t=03.79s] [Wheel] dx: 2 | Accumulator: 13
[t=03.80s] [Wheel] dx: 4 | Accumulator: 17
[t=03.81s] [Wheel] dx: 1 | Accumulator: 18
[t=03.81s] [Wheel] dx: 2 | Accumulator: 20
[t=03.82s] [Wheel] dx: 1 | Accumulator: 21
[t=03.83s] [Wheel] dx: 1 | Accumulator: 22
[t=03.83s] [Wheel] dx: 1 | Accumulator: 23
[t=03.84s] [Wheel] dx: 1 | Accumulator: 24
[t=03.85s] [Wheel] dx: 1 | Accumulator: 25
[t=03.85s] [Wheel] dx: 1 | Accumulator: 1
[t=04.21s] [Wheel] dx: -1 | Accumulator: 0
[t=04.21s] [Wheel] dx: -1 | Accumulator: -1
[t=04.22s] [Wheel] dx: -2 | Accumulator: -3
[t=04.22s] [Wheel] dx: -4 | Accumulator: -7
[t=04.23s] [Wheel] dx: -4 | Accumulator: -11
[t=04.23s] [Wheel] dx: -3 | Accumulator: -14
[t=04.24s] [Wheel] dx: -3 | Accumulator: -17
[t=04.25s] [Wheel] dx: -1 | Accumulator: -18
[t=04.25s] [Wheel] dx: -3 | Accumulator: -21
[t=04.27s] [Wheel] dx: -1 | Accumulator: -22
[t=04.27s] [Wheel] dx: -4 | Accumulator: -26
[t=04.28s] [Wheel] dx: -3 | Accumulator: -4
[t=04.28s] [Wheel] dx: -2 | Accumulator: -6
[t=04.28s] [Wheel] dx: -4 | Accumulator: -10
[t=04.29s] [Wheel] dx: -4 | Accumulator: -14
[t=04.29s] [Wheel] dx: -1 | Accumulator: -15
[t=04.30s] [Wheel] dx: -2 | Accumulator: -17
[t=04.30s] [Wheel] dx: -3 | Accumulator: -20
[t=04.30s] [Wheel] dx: -6 | Accumulator: -26
[t=04.33s] [Wheel] dx: -2 | Accumulator: -3
[t=04.33s] [Wheel] dx: -3 | Accumulator: -6
[t=04.33s] [Wheel] dx: -5 | Accumulator: -11
[t=04.34s] [Wheel] dx: -2 | Accumulator: -13
[t=04.34s] [Wheel] dx: -2 | Accumulator: -15
[t=04.34s] [Wheel] dx: -2 | Accumulator: -17
[t=04.35s] [Wheel] dx: -2 | Accumulator: -19
[t=04.35s] [Wheel] dx: -3 | Accumulator: -22
[t=04.37s] [Wheel] dx: -2 | Accumulator: -24
[t=04.37s] [Wheel] dx: -1 | Accumulator: -25
[t=04.38s] [Wheel] dx: -1 | Accumulator: -1
[t=04.38s] [Wheel] dx: -1 | Accumulator: -2
[t=04.39s] [Wheel] dx: -1 | Accumulator: -3
[t=04.39s] [Wheel] dx: -1 | Accumulator: -4
[t=04.40s] [Wheel] dx: -1 | Accumulator: -5
[t=04.41s] [Wheel] dx: -1 | Accumulator: -6
[t=04.72s] [Telemetry] Touch Raw: 12274 | Baseline: 10820 | Delta: 1454 (Threshold: 700)
[t=04.74s] [Wheel] dx: 1 | Accumulator: -5
[t=04.75s] [Wheel] dx: 2 | Accumulator: -3
[t=04.77s] [Wheel] dx: 2 | Accumulator: -1
[t=04.77s] [Wheel] dx: 2 | Accumulator: 1
[t=04.78s] [Wheel] dx: 2 | Accumulator: 3
[t=04.78s] [Wheel] dx: 1 | Accumulator: 4
[t=04.78s] [Wheel] dx: 3 | Accumulator: 7
[t=04.79s] [Wheel] dx: 3 | Accumulator: 10
[t=04.79s] [Wheel] dx: 4 | Accumulator: 14
[t=04.80s] [Wheel] dx: 5 | Accumulator: 19
[t=04.80s] [Wheel] dx: 3 | Accumulator: 22
[t=04.80s] [Wheel] dx: 4 | Accumulator: 26
[t=04.82s] [Wheel] dx: 5 | Accumulator: 6
[t=04.82s] [Wheel] dx: 4 | Accumulator: 10
[t=04.83s] [Wheel] dx: 5 | Accumulator: 15
[t=04.83s] [Wheel] dx: 4 | Accumulator: 19
[t=04.84s] [Wheel] dx: 2 | Accumulator: 21
[t=04.84s] [Wheel] dx: 2 | Accumulator: 23
[t=04.84s] [Wheel] dx: 4 | Accumulator: 27
[t=04.85s] [Wheel] dx: 2 | Accumulator: 4
[t=04.86s] [Wheel] dx: 1 | Accumulator: 5
[t=04.86s] [Wheel] dx: 1 | Accumulator: 6
[t=04.88s] [Wheel] dx: 1 | Accumulator: 7
[t=04.88s] [Wheel] dx: 4 | Accumulator: 11
[t=04.89s] [Wheel] dx: 5 | Accumulator: 16
[t=04.89s] [Wheel] dx: 1 | Accumulator: 17
[t=04.90s] [Wheel] dx: 2 | Accumulator: 19
[t=04.90s] [Wheel] dx: 2 | Accumulator: 21
[t=04.91s] [Wheel] dx: 2 | Accumulator: 23
[t=04.91s] [Wheel] dx: 3 | Accumulator: 26
[t=04.92s] [Wheel] dx: 2 | Accumulator: 3
[t=04.93s] [Wheel] dx: 1 | Accumulator: 4
[t=04.93s] [Wheel] dx: 1 | Accumulator: 5
[t=04.95s] [Wheel] dx: 2 | Accumulator: 7
[t=04.96s] [Wheel] dx: 1 | Accumulator: 8
[t=04.98s] [Wheel] dx: 1 | Accumulator: 9
[t=05.13s] [Wheel] dx: 2 | Accumulator: 11
[t=05.17s] [Wheel] dx: -1 | Accumulator: 10
[t=05.19s] [Wheel] dx: -2 | Accumulator: 8
[t=05.19s] [Wheel] dx: -2 | Accumulator: 6
[t=05.20s] [Wheel] dx: -1 | Accumulator: 5
