[Telemetry] Touch Raw: 10373 | Baseline: 10370 | Delta: 3 (Threshold: 1100)
[Telemetry] Touch Raw: 10379 | Baseline: 10369 | Delta: 10 (Threshold: 1100)
[Telemetry] Touch Raw: 10411 | Baseline: 10405 | Delta: 6 (Threshold: 1100)
[Telemetry] Touch Raw: 11920 | Baseline: 10457 | Delta: 1463 (Threshold: 1100)
[Wheel] dx: -1 | Accumulator: -1
[Wheel] dx: -1 | Accumulator: -2
[Wheel] dx: -1 | Accumulator: -3
[Wheel] dx: -1 | Accumulator: -4
[Wheel] dx: -2 | Accumulator: -6
[Wheel] dx: -3 | Accumulator: -9
[Wheel] dx: -2 | Accumulator: -11
[Wheel] dx: -2 | Accumulator: -3
[Wheel] dx: -1 | Accumulator: -4
[Wheel] dx: -1 | Accumulator: -5
[Wheel] dx: -2 | Accumulator: -7
[Wheel] dx: -1 | Accumulator: -8
[Wheel] dx: -2 | Accumulator: -10
[Wheel] dx: -1 | Accumulator: -1
[Wheel] dx: -3 | Accumulator: -4
[Wheel] dx: -2 | Accumulator: -6
[Wheel] dx: -1 | Accumulator: -7
[Wheel] dx: -2 | Accumulator: -9
[Wheel] dx: -1 | Accumulator: -10
[Wheel] dx: -1 | Accumulator: -1
[Wheel] dx: -3 | Accumulator: -4
[Wheel] dx: -2 | Accumulator: -6
[Wheel] dx: -2 | Accumulator: -8
[Wheel] dx: -1 | Accumulator: -9
[Wheel] dx: -1 | Accumulator: -10
[Wheel] dx: -3 | Accumulator: -3
[Wheel] dx: -2 | Accumulator: -5
[Wheel] dx: -2 | Accumulator: -7
[Wheel] dx: -1 | Accumulator: -8
[Wheel] dx: -6 | Accumulator: -14
[Wheel] dx: -2 | Accumulator: -6
[Wheel] dx: -3 | Accumulator: -9
[Wheel] dx: -2 | Accumulator: -11
[Wheel] dx: -1 | Accumulator: -2
[Wheel] dx: -2 | Accumulator: -4
[Wheel] dx: -2 | Accumulator: -6
[Wheel] dx: -3 | Accumulator: -9
[Wheel] dx: -3 | Accumulator: -12
[Wheel] dx: -2 | Accumulator: -4
[Wheel] dx: -3 | Accumulator: -7
[Wheel] dx: -1 | Accumulator: -8
[Wheel] dx: -4 | Accumulator: -12
[Wheel] dx: -2 | Accumulator: -4
[Wheel] dx: -1 | Accumulator: -5
[Wheel] dx: -2 | Accumulator: -7
[Wheel] dx: -2 | Accumulator: -9
[Wheel] dx: -5 | Accumulator: -14
[Wheel] dx: -1 | Accumulator: -5
[Wheel] dx: -1 | Accumulator: -6
[Telemetry] Touch Raw: 12289 | Baseline: 10457 | Delta: 1832 (Threshold: 1100)
[Wheel] dx: -1 | Accumulator: -7
[Wheel] dx: -1 | Accumulator: -8
[Wheel] dx: -2 | Accumulator: -10
[Wheel] dx: -1 | Accumulator: -1
[Wheel] dx: -2 | Accumulator: -3
[Wheel] dx: -4 | Accumulator: -7
[Wheel] dx: -2 | Accumulator: -9
[Wheel] dx: -1 | Accumulator: -10
[Wheel] dx: -2 | Accumulator: -2
[Wheel] dx: -1 | Accumulator: -3
[Wheel] dx: -3 | Accumulator: -6
[Wheel] dx: -1 | Accumulator: -7
[Wheel] dx: -1 | Accumulator: -8
[Wheel] dx: -3 | Accumulator: -11
[Wheel] dx: -2 | Accumulator: -3
[Wheel] dx: -2 | Accumulator: -5
[Wheel] dx: -1 | Accumulator: -6
[Wheel] dx: -3 | Accumulator: -9
[Wheel] dx: -2 | Accumulator: -11
[Wheel] dx: -1 | Accumulator: -2
[Wheel] dx: -1 | Accumulator: -3
[Wheel] dx: -4 | Accumulator: -7
[Wheel] dx: -3 | Accumulator: -10
[Wheel] dx: -2 | Accumulator: -2
[Wheel] dx: -2 | Accumulator: -4
[Wheel] dx: -2 | Accumulator: -6
[Wheel] dx: -1 | Accumulator: -7
[Wheel] dx: -3 | Accumulator: -10
[Wheel] dx: -1 | Accumulator: -1
[Wheel] dx: -1 | Accumulator: -2
[Wheel] dx: -4 | Accumulator: -6
[Wheel] dx: -3 | Accumulator: -9
[Wheel] dx: -2 | Accumulator: -11
[Wheel] dx: -1 | Accumulator: -2
[Wheel] dx: -3 | Accumulator: -5
[Wheel] dx: -2 | Accumulator: -7
[Wheel] dx: -4 | Accumulator: -11
[Wheel] dx: -3 | Accumulator: -4
[Wheel] dx: -3 | Accumulator: -7
[Wheel] dx: -3 | Accumulator: -10
[Wheel] dx: -1 | Accumulator: -1
[Wheel] dx: -1 | Accumulator: -2
[Wheel] dx: -3 | Accumulator: -5
